id,商品条形码,商品名称,品牌,具体产品,单位,口味,规格,标签
177,8852014003049,小p厨金枪鱼派,小p厨,小p厨金枪鱼派,包装,原味,20g,xpc-xpcjqyp-bz-yw-20g
178,6914973600072,德芙巧克力,德芙,德芙巧克力,袋装,榛仁味,43g,df-dfqkl-dz-zrw-43g
179,6914973600164,德芙巧克力,德芙,德芙巧克力,袋装,奶香味,43g,df-dfqkl-dz-nxw-43g
180,6914973604032,德芙巧克力,德芙,德芙巧克力,袋装,榛仁巴旦木及葡萄干味,43g,df-dfqkl-dz-zrbdmjptgw-43g
181,8994834004926,Enaak点心面,Enaak,Enaak点心面,袋装,辣味,28g,Enaak-Enaakdxm-dz-lw-28g
182,8851019010229,Pocky涂层饼干,Pocky,Pocky涂层饼干,盒装,芒果味,25g,Pocky-Pockytcbg-hz-mgw-25g
183,6934024590169,佳得乐运动饮料,佳得乐,佳得乐运动饮料,瓶装,柠檬味,600ml,jdl-jdlydyl-pz-nmw-600ml
184,8993175537445,丽芝士纳宝帝奶酪威化饼干,丽芝士,丽芝士纳宝帝奶酪威化饼干,袋装,原味,58g,lzs-lzsnbdnnwhbg-dz-yw-58g
185,8886471309895,果果先森美国樱桃干,果果先森,果果先森美国樱桃干,袋装,原味,15g,ggxs-ggxsmgytg-dz-yw-15g
186,6924743919242,乐事70g得克萨斯烧烤味,乐事,乐事薯片,袋装,得克萨斯烧烤味,70g,ls-lskssskwsp-bz-kssskw-70g
187,6924743919211,乐事70g美国经典原味,乐事,乐事美国经典原味薯片,袋装,经典原味,70g,ls-lssp-dz-mgjdyw-70g
188,6911988014832,达利园200g（10枚）法式软面包（香奶味）,达利园,达利园法式软面包,袋装,香奶味,200g,dly-dlyfsrmb-dz-xnw-200g
189,8851019010274,25g格力高Pocky巧克力香蕉味涂层饼干,格力高,格力高Pocky涂层饼干,盒装,巧克力香蕉味,25g,glg-glgPockytcbg-hz-qklxjw-25g
190,6924743919242,乐事墨西哥鸡汁番茄味薯片,乐事,乐事墨西哥鸡汁番茄味薯片,包装,墨西哥鸡汁番茄味,70g,ls-lsmxgjzfqwsp-bz-mxgjzfqw-70g
191,6923450605240,箭牌12.4g绿箭无糖薄荷糖（薄荷味）,箭牌,无糖薄荷糖,瓶装,薄荷味,12.4g,jp-jpwtbht-pz-bhw-12.4g
192,6920907808513,好丽友40g呀土豆（番茄味）,40g,40g,包,零食,塑料,hly-hlyytdst-dz-fqjw-70g
193,6911988009777,达利园108g好吃点香脆腰果饼,108g,108g,包,零食,塑料,hcd-hcdxcygb-dz-yw-108g
194,6924743919785,乐事大波浪薯片（辛辣味）40g,40g,40g,包,零食,塑料,ls-lsdblsp-dz-xlw-70g
195,4710199080566,80g维力张君雅小妹妹五香海苔休闲丸子,80g,80g,袋,零食,塑料,wl-wlzjyxmmxxwz-dz-wxhtw-80g
196,4710199085707,80g维力张君雅小妹妹日式串烧休闲丸子,80g,80g,袋,零食,塑料,wl-wlzjyxmmxxwz-dz-rscsw-80g
197,4710199087701,78g维力张君雅小妹妹墨西哥辣鸡点心面,78g,78g,袋,零食,塑料,wl-wlzjyxmmdxm-dz-mxgljw-80g
198,6924160714109,无穷60g烤鸡小腿（香辣）,60g,60g,包,熟食,塑料,wq-wqkjxt-dz-xlw-60g
199,6924187851184,洽洽108g核桃味瓜子,108g,108g,包,零食,塑料,qq-qqhtgz-dz-yw-108g
200,4711162821803,180g北田能量99棒芋头口味,180g,180g,袋,零食,塑料,btnl-btnl99bytw-dz-ytw-180g
201,6933311066271,傻二哥100g锅巴（麻辣味）,100g,100g,包,零食,塑料,seg-segclgb-dz-mlw-100g
202,6933311066172,傻二哥100g锅巴（香葱味）,100g,100g,包,零食,塑料,seg-segclgb-dz-xcw-100g
203,6924160714529,无穷100g盐焗鸡蛋,100g,100g,包,熟食,塑料,wq-wqncyjjd-dz-yw-100g
204,6920202888883,红牛罐装250ml,250ml,250ml,罐,饮料,金属,hn-hnwssgnyl-gz-yw-250ml
205,6920476664183,可口可乐330ml,330ml,330ml,瓶,饮料,塑料,kkkl-kkkltsyl-gz-yw-330ml
206,6931780720885,天地壹号罐装300ml,300ml,300ml,罐,饮料,金属,tdyh-tdyhpgc-gz-pg-330ml
207,6956367338680,王老吉凉茶310ml,310ml,310ml,瓶,饮料,塑料,wlj-wljlc-gz-yw-310ml
208,4891028706656,维他柠檬茶罐装310ml,310ml,310ml,瓶,饮料,塑料,wt-wtcyl-gz-nm-310ml
209,6920476664305,雪碧330ml,330ml,300ml,瓶,饮料,塑料,xb-xbtsyl-gz-yw-330ml
210,6957735788861,椰树牌椰子汁 245ml,245ml,245ml,瓶,饮料,塑料,ys-zzyspyz-gz-yw-245ml
211,6920180209601,屈臣氏苏打水330ml,330ml,330ml,瓶,饮料,塑料,qcs-qcssds-gz-yw-330ml
212,4710085107155,240ml伯朗咖啡饮料-卡布奇诺风味,240ml,240ml,瓶,酒饮,塑料,blkf-blkfkbqnfwyl-gz-yw-240ml
213,6907878030037,摩登芬达橙味330ml,330ml,330ml,瓶,饮料,塑料,fd-fdcwqs-gz-czw-330ml
214,6932512600369,广氏菠萝啤罐装330ml,330ml,330ml,罐,饮料,金属,gs-gsblwpj-gz-blw-330ml
215,6901845010176,百奇60g牛奶味,60g,60g,盒,零食,塑料,glg-glgbqbg-hz-nnw-60g
216,6901845010169,百奇60g巧克力味,60g,60g,盒,零食,塑料,glg-glgbqbg-hz-qklw-60g
217,6920907800210,好丽友138g蛋黄派6P,138g,138g,盒,零食,塑料,hly-hlydhp-hz-yw-138g
218,6920907801323,好丽友138g提拉米苏6P,138g,138g,盒,零食,塑料,hly-hlytlmsp-hz-yw-138g
219,8993175537469,145g丽芝士纳宝帝奶酪威化饼干,145g,145g,盒,零食,塑料,lzs-rnbdwhbg-hz-nlw-145g
220,6923644268480,蒙牛真果粒椰果粒250ml,250ml,250ml,瓶,饮料,塑料,mn-zgl-hz-ygw-250ml
221,6901424333948,王老吉凉茶盒装250ml,250ml,250ml,瓶,饮料,塑料,wlj-wljlc-hz-yw-250ml
222,8851019030487,37g格力高PRETZ烧烤风味饼干（极细）,37g,37g,盒,零食,塑料,PRETZ-PRETZbg-hz-skfw-37g
223,8851019030494,37g格力高PRETZ香辣虾味饼干（极细）,37g,37g,盒,零食,塑料,PRETZ-PRETZbg-hz-xlxw-37g
224,6901845040357,百力滋65g微辣比萨味,65g,65g,盒,零食,塑料,glg-glgzsbg-hz-wlbsw-65g
225,6901845040326,百力滋65g色拉味,65g,65g,盒,零食,塑料,glg-glgblzzsbg-hz-slw-65g
226,6901845042610,百力滋60g特浓番茄味,60g,60g,盒,零食,塑料,glg-glgblzzsbg-hz-tnfqw-60g
227,6921482336088,旺仔60g黑白配香橙,60g,60g,包,零食,塑料,ww-wwhbpyzxjxbg-hz-xcw-60g
228,6925303730574,阿萨姆奶茶500ml,500ml,500ml,瓶,饮料,塑料,asm-asmnc-pz-yw-500ml
229,6920476610036,可口可乐600ml,600ml,600ml,瓶,饮料,塑料,kkkl-kkkl-pz-yw-600ml
230,6902538004052,脉动青柠味600ml,600ml,600ml,瓶,饮料,塑料,md-mdwssyl-pz-qn-600ml
231,6956416200067,美汁源果粒橙450ml,450ml,450ml,瓶,饮料,塑料,mzy-mzyglc-pz-czw-450ml
232,6921168593552,农夫茶π西柚茉莉花茶500ml,500ml,500ml,瓶,饮料,塑料,nfsq-nfsqc-pz-xymlhc-500ml
233,6921168593576,农夫茶π柚子绿茶500ml,500ml,500ml,瓶,饮料,塑料,nfsq-nfsqc-pz-yzlc-500ml
234,6921168500956,农夫山泉水溶C100柠檬味饮料445ml,445ml,445ml,瓶,酒饮,塑料,nfsq-nfsqsrc-pz-nmw-445ml
235,6921168509256,农夫山泉饮用天然水550ml,550ml,550ml,瓶,饮料,塑料,nfsq-nfsqyytrs-pz-yw-550ml
236,6925303754952,小茗同学冷泡青柠红茶480ml,480ml,480ml,瓶,饮料,塑料,ty-tyxmtx-pz-lpqnhc-480ml
237,4891028705949,维他柠檬茶支装500ml,500ml,500ml,瓶,饮料,塑料,wt-wtnmc-pz-nm-500ml
238,6901285991219,怡宝纯净水555ml,555ml,555ml,瓶,饮料,塑料,yb-ybcjs-pz-yw-555ml
239,6937761805015,宝矿力500ml,500ml,500ml,瓶,饮料,塑料,bkl-bklst-pz-yw-500ml
240,6921294305012,康师傅冰红茶550ml,550ml,550ml,瓶,饮料,塑料,ksf-ksfbhc-pz-nmw-500ml
241,6921294389463,康师傅冰糖雪梨500ml,500ml,500ml,瓶,饮料,塑料,ksf-ksfbtxl-pz-yw-500ml
242,6902538006100,脉动水蜜桃味600ml,600ml,600ml,瓶,饮料,塑料,md-mdwssyl-pz-smtw-600ml
243,6921168550128,农夫山泉维他命水柠檬味饮料500ml,500ml,500ml,瓶,酒饮,塑料,nfsq-nfsqwtms-pz-nmfw-500ml
244,6921168550098,农夫山泉维他命水蓝莓味饮料500ml,500ml,500ml,瓶,酒饮,塑料,nfsq-nfsqwtms-pz-lmsmfw-500ml
245,6921168593859,农夫山泉维他命水乳酸菌味饮料500ml,500ml,500ml,瓶,酒饮,塑料,nfsq-nfsqwtms-pz-rsjfw-500ml
246,6921168559244,农夫山泉水溶C100青皮桔味饮料445ml,445ml,445ml,瓶,酒饮,塑料,nfsq-nfsqsrc-pz-qpjw-445ml
247,6921168500970,农夫山泉水溶C100西柚味饮料445ml,445ml,445ml,瓶,酒饮,塑料,nfsq-nfsqsrc-pz-xyzw-445ml
248,6921168558032,农夫山泉东方树叶乌龙茶500ml,500ml,500ml,瓶,酒饮,塑料,nfsq-nfsqwlc-pz-wlcw-500ml
249,6921168558018,农夫山泉东方树叶绿茶500ml,500ml,500ml,瓶,酒饮,塑料,nfsq-nfsqlc-pz-lcw-500ml
250,6921168558049,农夫山泉东方树叶茉莉花茶500ml,500ml,500ml,瓶,酒饮,塑料,nfsq-nfsqmlhc-pz-mlhcw-500ml
251,6921168558025,农夫山泉东方树叶红茶500ml,500ml,500ml,瓶,酒饮,塑料,nfsq-nfsqhc-pz-hcw-500ml
252,6921168504022,尖叫纤维运动装绿色550ml,550ml,550ml,瓶,饮料,塑料,nfsq-nfsqjjydyl-pz-xyw-550ml
253,6921168593569,农夫茶π蜜桃乌龙500ml,500ml,500ml,瓶,酒饮,塑料,nfsq-nfsqcp-pz-mtwlc-500ml
254,6921168593736,农夫茶π玫瑰荔枝红茶500ml,500ml,500ml,瓶,饮料,塑料,nfsq-nfsqcp-pz-mglzhc-500ml
255,6921168593583,农夫茶π柠檬红茶500ml,500ml,500ml,瓶,酒饮,塑料,nfsq-nfsqcp-pz-nmhc-500ml
256,6917878030623,雀巢咖啡丝滑摩卡268ml,268ml,268ml,瓶,饮料,塑料,qc-qckf-pz-shmk-268ml
257,6902083893842,娃哈哈营养快线椰子味450ml,450ml,450ml,瓶,饮料,塑料,whh-whhyykx-pz-yzw-500g
258,6921168550142,农夫山泉维他命水柑橘味饮料500ml,500ml,500ml,瓶,酒饮,塑料,nfsq-nfsqwtms-pz-gjfw-500ml
259,6901010108165,第五季番石榴支装450ml,450ml,450ml,瓶,饮料,塑料,dwj-dwjfslsfyl-pz-fslw-450ml
260,6902934990362,喜之郎200g什锦果肉杯,200g,200g,杯,零食,塑料,xzl-xzlgd-wz-sjgrw-150g
261,6920476620035,雪碧500ml,500ml,500ml,瓶,饮料,塑料,xb-xbqsnmwqs-pz-yw-600ml
262,6921168550104,农夫山泉维他命水石榴味饮料500ml,500ml,500ml,瓶,酒饮,塑料,　
264,6911988009760,达利园108g好吃点香脆杏仁饼,108g,108g,包,零食,塑料,　
265,6914597101405,五羊甜筒香芋味,五羊,五羊甜筒香芋味,支装,香芋味,73g,wy-wytt-zz-xyw-73g
266,6914597101429,五羊甜筒哈密瓜味,五羊,五羊甜筒哈密瓜味,支装,哈密瓜味,73g,wy-wytt-zz-hmgw-73g
267,6918551812086,五羊甜筒双皮奶味,五羊,五羊甜筒双皮奶味,支装,双皮奶味,73g,wy-wytt-zz-spnw-73g
268,6918551811966,五羊甜筒榴莲味,五羊,五羊甜筒榴莲味,支装,榴莲味,73g,wy-wytt-zz-llw-73g
269,6918551812062,五羊甜筒芝士乌龙茶味雪糕,五羊,五羊甜筒芝士乌龙茶味雪糕,支装,芝士乌龙茶味,64g,wy-wytt-zz-zswlcw-64g
270,6918551811980,五羊甜筒芒果西柚味雪糕,五羊,五羊甜筒芒果西柚味雪糕,支装,芒果西柚味,64g,wy-wytt-zz-mgxyw-64g
271,6907992822747,伊利巧乐兹-巧恋果,伊利,伊利巧乐兹-巧恋果,支装,巧恋果,75g,yl-ylqlz-zz-qlgw-75g
272,6907992822761,伊利巧乐兹-香奶棒,伊利,伊利巧乐兹-香奶棒,支装,香奶棒,75g,yl-ylqlz-zz-xngw-76g
273,6907992822914,伊利佰豆集-心多多蜜豆,伊利,伊利佰豆集-心多多蜜豆,支装,伊利佰豆集-心多多蜜豆,75g,yl-ylbdj-zz-xddmdw-76g
274,6930692700091,明治栗子红豆雪糕,明治,明治栗子红豆雪糕,支装,明治栗子红豆雪糕,74g,mz-mzxg-zz-lzhdw-74g
275,6930692700022,明治炼乳红豆雪糕,明治,明治炼乳红豆雪糕,支装,明治炼乳红豆雪糕,87g,mz-mzxg-zz-lrhdw-74g
276,6930692700138,明治丝享—香草味冰淇淋,明治,明治丝享—香草味冰淇淋,杯装,明治丝享—香草味冰淇淋,108g,mz-mzsxbql-bz-xcw-108g
277,6930692700152,明治丝享—椰果奶茶冰淇淋,明治,明治丝享—椰果奶茶冰淇淋,杯装,明治丝享—椰果奶茶冰淇淋,103g,mz-mzsxbql-bz-ygncw-108g
278,6918551811515,雀巢圣代杯草莓味,雀巢,雀巢圣代杯草莓味,杯装,雀巢圣代杯草莓味,111g,qc-qcsdb-bz-cmw-111g
279,6918551811522,雀巢圣代杯巧克力味,雀巢,雀巢圣代杯巧克力味,杯装,雀巢圣代杯巧克力味,111g,qc-qcsdb-bz-qklw-111g
280,6918551810648,雀巢摩爵香草,雀巢,雀巢摩爵香草,支装,香草,65g,qc-qcmj-bz-xcw-65g
281,8851019010267,格力高Pocky奶油曲奇涂层饼干,格力高,格力高Pocky奶油曲奇涂层饼干,盒,奶油曲奇味 ,45g,glg-glgPockynyqqtcbg-hz-nyqqw-45g
282,6924743918313,乐事无限薯片,乐事,乐事无限薯片,罐,鲜浓番茄味,40g,ls-lswxsp-gz-xnfqw-40g
283,6901668005755,卡夫奥利奥巧克力夹心,卡夫,卡夫奥利奥巧克力夹心,盒,巧克力口味,116g,kf-kfalaqkljx-hz-qklkw-116g
284,6970862320049,乐宝卡通奇乐小猪,乐宝卡通,乐宝卡通奇乐小猪,盒,曲奇味,31g,lbkt-lbktqlxz-hz-qqw-31g
285,8851019010144,格力高Pocky草莓味涂层饼干,格力高,格力高Pocky草莓味涂层饼干,盒,草莓味,45g,glg-glgPockycmwtcbg-hz-cmw-45g
286,6901028189972,黄鹤楼（硬嘉禧缘）,黄鹤楼,黄鹤楼（硬嘉禧缘）,盒,金盒,16g,hhl-hhlyjxy-hz-jh-16g
287,6925448107309,乐潮脆皮牛奶软糖,乐潮,乐潮脆皮牛奶软糖,罐,综合口味,68g,lc-lccpnnrt-gz-zhkw-68g
288,6910289043749,青蛙珍果糖,青蛙珍果糖,青蛙珍果糖,罐,综合口味,80g,qwzgt-qwzgt-gz-zhkw-80g
289,6910289043725,老人头吉利糖,老人头吉利糖,老人头吉利糖,罐,综合口味,75g,lrtjlt-lrtjlt-gz-zhkw-75g
290,6926475201350,喜之郎吸果冻,喜之郎,喜之郎吸果冻,袋,香橙味,150g,xzl-xzlxgd-dz-xcw-150g
291,6920548862035,旺仔QQ糖,旺仔,旺仔QQ糖,袋,菠萝味,20g,wz-wzQQt-dz-blw-20g
292,6925448107279,乐潮树莓味软糖,乐潮,乐潮树莓味软糖,罐,树莓味,58g,lc-lcsmwrt-gz-smw-58g
293,6920548862042,旺仔QQ糖, 旺仔,旺仔QQ糖,袋,水蜜糖味,20g,wz-wzQQt-dz-smtw-20g
294,697048244868,小安喂素绝味鲍鱼味,小安喂,小安喂素绝味鲍鱼味,袋,素绝味鲍鱼味,130g,xaw-xawsjwbyw-dz-sjwbyw-130g
295,6910289044746,天凤奶瓶软糖,天凤奶瓶,天凤奶瓶软糖,罐,综合口味,26g,tfnp-tfnprt-gz-zhkw-26g
296,6901028193856,芙蓉王（蓝）,芙蓉王,芙蓉王（蓝）,盒,深蓝盒,26g,frw-frwl-hz-slh-26g
297,6901028118811,利群(长嘴),,利群(长嘴),盒,米黄红盒,26g,lq-lqcz-hz-mhhh-26g
298,6901028001618,双喜(硬经典1906),双喜,双喜(硬经典1906),盒,深红盒,26g,sx-sxyjd1906-hz-shh-26g
299,6901028317122,玉溪（软),玉溪,玉溪（软),盒,软盒,24g,yx-yxr-hz-rh-24g
300,6901028191296,芙蓉王（硬闪带细支）,芙蓉王,芙蓉王（硬闪带细支）,盒,深蓝盒,16g,frw-frwysdxz-hz-slh-16g
301,6901028000932,双喜（硬世纪经典）,双喜,双喜（硬世纪经典）,盒,深红盒,26g,sx-sxysjjd-hz-shh-26g
302,6901028180573,黄鹤楼（软蓝）,黄鹤楼,黄鹤楼（软蓝）,盒,软蓝盒,22g,hhl-hhlrl-hz-rlh-22g
303,6901028007948,双喜（龙）,双喜,双喜（龙）,盒,褐色盒,26g,sx-sxl-hz-hsh-26g
304,6901028316989,玉溪（1973硬）,玉溪,玉溪（1973硬）,盒,1973硬盒,24g,yx-yx1973y-hz-1973yh-24g
305,6901028000642,双喜（硬经典）,双喜,双喜（硬经典）,盒,硬经典红盒,24g,sx-sxyjd-hz-yjdhh-24g
306,6901028208932,黄山（红方印细支）,黄山,黄山（红方印细支）,盒,米色盒,18g,hs-hshfyxz-hz-msh-18g
307,6901028075763,中华（硬）,中华,中华（硬）,盒,硬红盒,26g,zh-zhy-hz-yhh-26g
308,8888075018609,SE555(双冰),SE555,SE555(双冰),盒,双冰深蓝盒,28g,SE555-SE555sb-hz-sbslh-28g
309,6901028193498,芙蓉王（硬）,芙蓉王,芙蓉王（硬）,盒,硬灰金盒,26g,frw-frwy-hz-yhjh-26g
310,6901028003582,双喜（经典工坊）,双喜,双喜（经典工坊）,盒,经典工坊淡粉盒,24g,sx-sxjdgf-hz-jdgfdfh-24g
311,6901028165969,黄金叶（大M）,黄金叶,黄金叶（大M）,盒,大M黑盒,26g,hjy-hjydM-hz-dMhh-28g
312,6901028011990,真龙（凌云）,真龙,真龙（凌云）,盒,凌云金盒,16g,zl-zlly-hz-lyjh-16g
313,6901028005203,双喜（硬红五叶神）,双喜,双喜（硬红五叶神）,盒,硬红五叶神红盒,24g,sx-sxyhwys-hz-yhwyshh-24g
